Metro_area,Main_cities,Population,Violent_crime,Property_crime
NA,"Includes Clinton, Eaton, and Ingham Counties",NA,NA,NA
NA,City of Lansing,115199,1341,3325
NA,City of East Lansing,48451,115,719
NA,Total area actually reporting,1,2172,8730
NA,"Rate per 100,000 inhabitants",NA,458.5,1843
"Laredo, TX M.S.A.",NA,272746,NA,NA
NA,Includes Webb County,NA,NA,NA
NA,City of Laredo,259325,940,7890
NA,Total area actually reporting,1,986,8188
NA,"Rate per 100,000 inhabitants",NA,361.5,3002.1
"Las Cruces, NM M.S.A.",NA,214233,NA,NA
NA,Includes Dona Ana County,NA,NA,NA
NA,City of Las Cruces,102349,251,4788
NA,Total area actually reporting,0.957,496,6049
NA,Estimated total,1,542,6357
NA,"Rate per 100,000 inhabitants",NA,253,2967.3
"Las Vegas-Henderson-Paradise, NV M.S.A.",NA,2155946,NA,NA
NA,Includes Clark County,NA,NA,NA
NA,City of Las Vegas Metropolitan Police Department,1592178,13520,46e3
NA,City of Henderson,291584,617,5484
NA,Total area actually reporting,1,16622,58811
NA,"Rate per 100,000 inhabitants",NA,771,2727.9
"Lawton, OK M.S.A.",NA,129814,NA,NA
NA,Includes Comanche and Cotton Counties,NA,NA,NA
NA,City of Lawton,96420,781,3691
NA,Total area actually reporting,0.991,813,4125
NA,Estimated total,1,815,4155
NA,"Rate per 100,000 inhabitants",NA,627.8,3200.7
"Lebanon, PA M.S.A.",NA,137357,NA,NA
NA,Includes Lebanon County,NA,NA,NA
NA,City of Lebanon,25549,60,619
NA,Total area actually reporting,0.959,203,1942
NA,Estimated total,1,212,2028
NA,"Rate per 100,000 inhabitants",NA,154.3,1476.4
"Lewiston, ID-WA M.S.A.",NA,62714,NA,NA
NA,"Includes Nez Perce County, ID and Asotin County, WA",NA,NA,NA
NA,"City of Lewiston, ID",32665,46,1330
NA,Total area actually reporting,1,95,2189
NA,"Rate per 100,000 inhabitants",NA,151.5,3490.4
"Lewiston-Auburn, ME M.S.A.",NA,107279,NA,NA
NA,Includes Androscoggin County,NA,NA,NA
NA,City of Lewiston,36126,64,718
NA,City of Auburn,22836,43,730
NA,Total area actually reporting,1,146,1825
NA,"Rate per 100,000 inhabitants",NA,136.1,1701.2
"Lexington-Fayette, KY M.S.A.",NA,505664,NA,NA
NA,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",NA,NA,NA
NA,City of Lexington,317853,1079,13058
NA,Total area actually reporting,1,1335,18168
NA,"Rate per 100,000 inhabitants",NA,264,3592.9
"Lima, OH M.S.A.",NA,103900,NA,NA
NA,Includes Allen County,NA,NA,NA
NA,City of Lima,37715,356,2259
NA,Total area actually reporting,0.967,400,3652
NA,Estimated total,1,405,3729
NA,"Rate per 100,000 inhabitants",NA,389.8,3589
"Lincoln, NE M.S.A.",NA,327353,NA,NA
NA,Includes Lancaster and Seward Counties,NA,NA,NA
NA,City of Lincoln,281138,1006,8730
NA,Total area actually reporting,0.994,1052,9202
NA,Estimated total,1,1055,9244
NA,"Rate per 100,000 inhabitants",NA,322.3,2823.9
"Little Rock-North Little Rock-Conway, AR M.S.A.4",NA,737086,NA,NA
NA,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",NA,NA,NA
NA,City of Little Rock,198800,3044,13714
NA,City of North Little Rock,67344,503,2926
NA,City of Conway,66104,335,2970
NA,Total area actually reporting,1,5602,NA
NA,"Rate per 100,000 inhabitants",NA,760,NA
"Logan, UT-ID M.S.A.",NA,135889,NA,NA
NA,"Includes Franklin County, ID and Cache County, UT",NA,NA,NA
NA,"City of Logan, UT",50767,50,844
NA,Total area actually reporting,1,90,1481
NA,"Rate per 100,000 inhabitants",NA,66.2,1089.9
"Longview, WA M.S.A.",NA,104085,NA,NA
NA,Includes Cowlitz County,NA,NA,NA
NA,City of Longview,36854,142,1927
NA,Total area actually reporting,1,279,3448
NA,"Rate per 100,000 inhabitants",NA,268.1,3312.7
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",NA,13350144,NA,NA
NA,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale,NA,NA,NA
NA,City of Los Angeles,4007905,28817,99151
NA,City of Long Beach,476476,2846,14224
NA,City of Anaheim,353504,1209,9617
NA,City of Santa Ana,337419,1612,6980
NA,City of Irvine,266663,152,3737
NA,City of Glendale,202903,227,3450
NA,City of Torrance,149078,258,3221
NA,City of Pasadena,143288,477,3446
NA,City of Orange,141841,228,2608
NA,City of Costa Mesa,113816,412,4610
NA,City of Burbank,105720,210,2927
NA,City of Carson,93613,505,2424
NA,City of Santa Monica,93921,475,4039
NA,City of Newport Beach,87482,110,2241
NA,City of Tustin,81642,120,1806
NA,City of Monterey Park,61710,131,1704
NA,City of Gardena,60770,338,1482
NA,City of Arcadia,58816,83,1642
NA,City of Fountain Valley,57291,63,1443
NA,Total area actually reporting,1,63646,318559
NA,"Rate per 100,000 inhabitants",NA,476.7,2386.2
"Anaheim-Santa Ana-Irvine, CA M.D.",NA,3179276,NA,NA
NA,Includes Orange County,NA,NA,NA
NA,Total area actually reporting,1,7275,66054
NA,"Rate per 100,000 inhabitants",NA,228.8,2077.6
"Los Angeles-Long Beach-Glendale, CA M.D.",NA,10170868,NA,NA
NA,Includes Los Angeles County,NA,NA,NA
NA,Total area actually reporting,1,56371,252505
NA,"Rate per 100,000 inhabitants",NA,554.2,2482.6
"Louisville/Jefferson County, KY-IN M.S.A.",NA,1285169,NA,NA
NA,"Includes Clark, Floyd, Harrison, Scott, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, Spencer, and Trimble Counties, KY",NA,NA,NA
NA,"City of Louisville Metro, KY",683825,4621,30254
NA,Total area actually reporting,0.942,5502,42026
NA,Estimated total,1,5627,43168
NA,"Rate per 100,000 inhabitants",NA,437.8,3358.9
"Lubbock, TX M.S.A.2",NA,314167,NA,NA
NA,"Includes Crosby, Lubbock, and Lynn Counties",NA,NA,NA
NA,City of Lubbock,252900,2741,12661
NA,Total area actually reporting,0.988,2894,14117
NA,Estimated total,1,2904,14210
NA,"Rate per 100,000 inhabitants",NA,924.3,4523.1
"Lynchburg, VA M.S.A.",NA,259926,NA,NA
NA,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",NA,NA,NA
NA,City of Lynchburg,80215,298,1802
NA,Total area actually reporting,1,530,3739
NA,"Rate per 100,000 inhabitants",NA,203.9,1438.5
"Macon-Bibb County, GA M.S.A.",NA,229434,NA,NA
NA,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",NA,NA,NA
NA,Total area actually reporting,0.996,872,9457
NA,Estimated total,1,876,9496
NA,"Rate per 100,000 inhabitants",NA,381.8,4138.9
"Madera, CA M.S.A.",NA,154726,NA,NA
NA,Includes Madera County,NA,NA,NA
NA,City of Madera,64753,505,1859
NA,Total area actually reporting,1,1024,3705
NA,"Rate per 100,000 inhabitants",NA,661.8,2394.6
"Madison, WI M.S.A.2",NA,647587,NA,NA
NA,"Includes Columbia, Dane, Green, and Iowa Counties",NA,NA,NA
NA,City of Madison,252136,832,6932
NA,Total area actually reporting,0.988,1304,12263
NA,Estimated total,1,1313,12406
NA,"Rate per 100,000 inhabitants",NA,202.8,1915.7
"Manchester-Nashua, NH M.S.A.",NA,408233,NA,NA
NA,Includes Hillsborough County,NA,NA,NA
NA,City of Manchester,110353,742,3010
NA,City of Nashua,88252,151,1218
NA,Total area actually reporting,0.987,1089,6162
NA,Estimated total,1,1096,6228
NA,"Rate per 100,000 inhabitants",NA,268.5,1525.6
"Manhattan, KS M.S.A.",NA,99113,NA,NA
NA,Includes Pottawatomie and Riley Counties,NA,NA,NA
NA,Total area actually reporting,1,257,1607
NA,"Rate per 100,000 inhabitants",NA,259.3,1621.4
"Mankato-North Mankato, MN M.S.A.",NA,99481,NA,NA
NA,Includes Blue Earth and Nicollet Counties,NA,NA,NA
NA,City of Mankato,41300,112,1329
NA,City of North Mankato,13553,7,149
NA,Total area actually reporting,1,153,1878
NA,"Rate per 100,000 inhabitants",NA,153.8,1887.8
"Mansfield, OH M.S.A.",NA,121064,NA,NA
NA,Includes Richland County,NA,NA,NA
NA,City of Mansfield,46656,209,2605
NA,Total area actually reporting,0.993,290,4437
NA,Estimated total,1,291,4457
NA,"Rate per 100,000 inhabitants",NA,240.4,3681.5
"McAllen-Edinburg-Mission, TX M.S.A.2",NA,853003,NA,NA
NA,Includes Hidalgo County,NA,NA,NA
NA,City of McAllen,142227,215,4470
NA,City of Edinburg,86535,354,4183
NA,City of Mission,84380,120,2179
NA,Total area actually reporting,0.993,2505,24130
NA,Estimated total,1,2522,24276
NA,"Rate per 100,000 inhabitants",NA,295.7,2845.9
"Medford, OR M.S.A.",NA,215751,NA,NA
NA,Includes Jackson County,NA,NA,NA
NA,City of Medford,80794,407,5688
NA,Total area actually reporting,1,772,9339
NA,"Rate per 100,000 inhabitants",NA,357.8,4328.6
"Memphis, TN-MS-AR M.S.A.",NA,1346931,NA,NA
NA,"Includes Crittenden County, AR; Benton, DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",NA,NA,NA
NA,"City of Memphis, TN",656434,11947,36988
NA,Total area actually reporting,0.973,14524,51468
NA,Estimated total,1,14575,52102
NA,"Rate per 100,000 inhabitants",NA,1082.1,3868.2
"Merced, CA M.S.A.",NA,268999,NA,NA
NA,Includes Merced County,NA,NA,NA
NA,City of Merced,83106,489,2774
NA,Total area actually reporting,1,1488,7658
NA,"Rate per 100,000 inhabitants",NA,553.2,2846.9
"Miami-Fort Lauderdale-West Palm Beach, FL M.S.A.",NA,6113688,NA,NA
NA,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Delray Beach",NA,NA,NA
NA,City of Miami,449469,3989,18974
NA,City of Fort Lauderdale,181218,1144,10630
NA,City of West Palm Beach,108074,954,5599
NA,City of Pompano Beach,109362,931,5205
NA,City of Miami Beach,93165,940,8419
NA,City of Boca Raton,94931,239,2495
NA,City of Deerfield Beach,80713,277,2193
NA,City of Delray Beach,67400,387,2842
NA,City of Jupiter,64273,147,1261
NA,Total area actually reporting,1,29720,196533
NA,"Rate per 100,000 inhabitants",NA,486.1,3214.6
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",NA,1930253,NA,NA
NA,Includes Broward County,NA,NA,NA
NA,Total area actually reporting,1,7550,58871
NA,"Rate per 100,000 inhabitants",NA,391.1,3049.9
"Miami-Miami Beach-Kendall, FL M.D.",NA,2737194,NA,NA
NA,Includes Miami-Dade County,NA,NA,NA
NA,Total area actually reporting,1,15635,95584
NA,"Rate per 100,000 inhabitants",NA,571.2,3492
"West Palm Beach-Boca Raton-Delray Beach, FL M.D.",NA,1446241,NA,NA
NA,Includes Palm Beach County,NA,NA,NA
NA,Total area actually reporting,1,6535,42078
NA,"Rate per 100,000 inhabitants",NA,451.9,2909.5
"Michigan City-La Porte, IN M.S.A.",NA,110541,NA,NA
NA,Includes La Porte County,NA,NA,NA
NA,City of Michigan City,31459,186,1444
NA,City of La Porte,21891,93,765
NA,Total area actually reporting,0.958,320,2814
NA,Estimated total,1,333,2943
NA,"Rate per 100,000 inhabitants",NA,301.2,2662.4
"Midland, MI M.S.A.",NA,83588,NA,NA
NA,Includes Midland County,NA,NA,NA
NA,City of Midland,42263,48,511
NA,Total area actually reporting,1,107,887
NA,"Rate per 100,000 inhabitants",NA,128,1061.2
"Midland, TX M.S.A.",NA,171699,NA,NA
NA,Includes Martin and Midland Counties,NA,NA,NA
NA,City of Midland,137780,412,3352
NA,Total area actually reporting,1,511,4285
NA,"Rate per 100,000 inhabitants",NA,297.6,2495.6
"Milwaukee-Waukesha-West Allis, WI M.S.A.2",NA,1577025,NA,NA
NA,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",NA,NA,NA
NA,City of Milwaukee,600193,9201,24392
NA,City of Waukesha,72223,92,1117
NA,City of West Allis2,60558,200,2262
NA,Total area actually reporting,1,10345,42858
NA,"Rate per 100,000 inhabitants",NA,656,2717.6
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",NA,3555186,NA,NA
NA,"Includes Anoka, Carver,2 Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Sibley, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",NA,NA,NA
NA,"City of Minneapolis, MN",416751,4622,17594
NA,"City of St. Paul, MN",303920,1970,9811
NA,"City of Bloomington, MN",87134,177,2810
NA,"City of Plymouth, MN",76996,48,1009
NA,"City of Eagan, MN",66698,40,1144
NA,"City of Eden Prairie, MN",64037,36,729
NA,Total area actually reporting,0.998,10218,82192
NA,Estimated total,1,10227,82325
NA,"Rate per 100,000 inhabitants",NA,287.7,2315.6
"Missoula, MT M.S.A.",NA,115226,NA,NA
NA,Includes Missoula County,NA,NA,NA
NA,City of Missoula,71860,377,3761
NA,Total area actually reporting,1,476,4087
NA,"Rate per 100,000 inhabitants",NA,413.1,3546.9
"Mobile, AL M.S.A.5",NA,414817,NA,NA
NA,Includes Mobile County,NA,NA,NA
NA,City of Mobile5,249921,1709,11769
NA,Total area actually reporting,1,2426,16688
NA,"Rate per 100,000 inhabitants",NA,584.8,4023
"Modesto, CA M.S.A.",NA,539425,NA,NA
NA,Includes Stanislaus County,NA,NA,NA
NA,City of Modesto,212880,2104,9324
NA,Total area actually reporting,1,3366,17918
NA,"Rate per 100,000 inhabitants",NA,624,3321.7
"Monroe, LA M.S.A.",NA,179125,NA,NA
NA,Includes Ouachita and Union Parishes,NA,NA,NA
NA,City of Monroe,49677,1493,4646
NA,Total area actually reporting,0.956,2092,8592
NA,Estimated total,1,2126,8884
NA,"Rate per 100,000 inhabitants",NA,1186.9,4959.7
"Montgomery, AL M.S.A.",NA,372661,NA,NA
NA,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",NA,NA,NA
NA,City of Montgomery,199565,1215,8989
NA,Total area actually reporting,0.993,1745,13166
NA,Estimated total,1,1758,13248
NA,"Rate per 100,000 inhabitants",NA,471.7,3555
"Morgantown, WV M.S.A.",NA,138954,NA,NA
NA,Includes Monongalia and Preston Counties,NA,NA,NA
NA,City of Morgantown,31109,89,674
NA,Total area actually reporting,0.884,318,1684
NA,Estimated total,1,366,2245
NA,"Rate per 100,000 inhabitants",NA,263.4,1615.6
"Mount Vernon-Anacortes, WA M.S.A.",NA,123317,NA,NA
NA,Includes Skagit County,NA,NA,NA
NA,City of Mount Vernon,34521,88,1324
NA,City of Anacortes,16532,15,463
NA,Total area actually reporting,1,230,4424
NA,"Rate per 100,000 inhabitants",NA,186.5,3587.5
"Muncie, IN M.S.A.",NA,116443,NA,NA
NA,Includes Delaware County,NA,NA,NA
NA,City of Muncie,70065,252,2755
NA,Total area actually reporting,1,304,3429
NA,"Rate per 100,000 inhabitants",NA,261.1,2944.8
"Muskegon, MI M.S.A.",NA,172890,NA,NA
NA,Includes Muskegon County,NA,NA,NA
NA,City of Muskegon,38442,273,1468
NA,Total area actually reporting,1,754,5211
NA,"Rate per 100,000 inhabitants",NA,436.1,3014.1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.",NA,444122,NA,NA
NA,"Includes Brunswick County, NC and Horry County, SC",NA,NA,NA
NA,"City of Myrtle Beach, SC",31864,538,4395
NA,"City of Conway, SC",21874,174,1016
NA,"City of North Myrtle Beach, SC",15945,121,1227
NA,Total area actually reporting,0.974,2015,15950
NA,Estimated total,1,2046,16308
NA,"Rate per 100,000 inhabitants",NA,460.7,3672
"Napa, CA M.S.A.",NA,142635,NA,NA
NA,Includes Napa County,NA,NA,NA
NA,City of Napa,81115,296,1579
NA,Total area actually reporting,1,598,2524
NA,"Rate per 100,000 inhabitants",NA,419.3,1769.6
"Naples-Immokalee-Marco Island, FL M.S.A.",NA,365390,NA,NA
NA,Includes Collier County,NA,NA,NA
NA,City of Naples,21917,19,408
NA,City of Marco Island,17947,2,94
NA,Total area actually reporting,1,962,4496
NA,"Rate per 100,000 inhabitants",NA,263.3,1230.5
"Nashville - Davidson - Murfreesboro - Franklin, TN M.S.A.",NA,1863012,NA,NA
NA,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties",NA,NA,NA
NA,City of Nashville Metropolitan,668685,7371,24719
NA,City of Murfreesboro,129730,790,3867
NA,City of Franklin,74771,154,1085
NA,Total area actually reporting,1,11580,46171
NA,"Rate per 100,000 inhabitants",NA,621.6,2478.3
"New Bern, NC M.S.A.",NA,126088,NA,NA
NA,"Includes Craven, Jones, and Pamlico Counties",NA,NA,NA
NA,City of New Bern,30137,124,1046
NA,Total area actually reporting,0.91,291,2797
NA,Estimated total,1,310,3001
NA,"Rate per 100,000 inhabitants",NA,245.9,2380.1
"New Haven-Milford, CT M.S.A.2",NA,804612,NA,NA
NA,Includes New Haven County,NA,NA,NA
NA,City of New Haven,130425,1219,5492
NA,City of Milford,53752,34,1215
NA,Total area actually reporting,1,2597,20370
NA,"Rate per 100,000 inhabitants",NA,322.8,2531.7
"New Orleans-Metairie, LA M.S.A.",NA,1272995,NA,NA
NA,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",NA,NA,NA
NA,City of New Orleans,397208,4249,15571
NA,Total area actually reporting,0.997,7099,38082
NA,Estimated total,1,7113,38206
NA,"Rate per 100,000 inhabitants",NA,558.8,3001.3
"New York-Newark-Jersey City, NY-NJ-PA M.S.A.",NA,20177990,NA,NA
NA,"Includes the Metropolitan Divisions of Dutchess County-Putnam County, NY; Nassau County-Suffolk County, NY; Newark, NJ-PA; and New York-Jersey City-White Plains, NY-NJ",NA,NA,NA
NA,"City of New York, NY",8566917,49124,125278
NA,"City of Newark, NJ",281450,2637,6308
NA,"City of Jersey City, NJ",266179,1276,4483
NA,"City of White Plains, NY",58767,121,931
NA,"City of New Brunswick, NJ",57158,392,1252
NA,"City of Lakewood Township, NJ",100269,169,949
NA,Total area actually reporting,0.998,71541,273117
NA,Estimated total,1,71614,273749
NA,"Rate per 100,000 inhabitants",NA,354.9,1356.7
"Dutchess County-Putnam County, NY M.D.",NA,391642,NA,NA
NA,Includes Dutchess and Putnam Counties,NA,NA,NA
NA,Total area actually reporting,0.991,601,4079
NA,Estimated total,1,607,4130
NA,"Rate per 100,000 inhabitants",NA,155,1054.5
"Nassau County-Suffolk County, NY M.D.",NA,2849237,NA,NA
NA,Includes Nassau and Suffolk Counties,NA,NA,NA
NA,Total area actually reporting,0.988,3611,33727
NA,Estimated total,1,3673,34264
NA,"Rate per 100,000 inhabitants",NA,128.9,1202.6
"Newark, NJ-PA M.D.",NA,2506862,NA,NA
NA,"Includes Essex, Hunterdon, Morris, Somerset, Sussex, and Union Counties, NJ and Pike County, PA",NA,NA,NA
NA,Total area actually reporting,1,7110,35082
NA,"Rate per 100,000 inhabitants",NA,283.6,1399.4
"New York-Jersey City-White Plains, NY-NJ M.D.",NA,14430249,NA,NA
NA,"Includes Bergen, Hudson, Middlesex, Monmouth, Ocean, and Passaic Counties, NJ and Bronx, Kings, New York, Orange, Queens, Richmond, Rockland, and Westchester Counties, NY",NA,NA,NA
NA,Total area actually reporting,0.999,60219,200229
NA,Estimated total,1,60224,200273
NA,"Rate per 100,000 inhabitants",NA,417.3,1387.9
"Niles-Benton Harbor, MI M.S.A.",NA,154139,NA,NA
NA,Includes Berrien County,NA,NA,NA
NA,City of Niles,11282,64,287
NA,City of Benton Harbor,9963,179,438
NA,Total area actually reporting,1,696,3605
NA,"Rate per 100,000 inhabitants",NA,451.5,2338.8
"North Port-Sarasota-Bradenton, FL M.S.A.",NA,784372,NA,NA
NA,Includes Manatee and Sarasota Counties,NA,NA,NA
NA,City of North Port,63386,89,861
NA,City of Sarasota,55732,291,2199
NA,City of Bradenton,55518,328,1713
NA,City of Venice,22514,24,374
NA,Total area actually reporting,1,2678,15870
NA,"Rate per 100,000 inhabitants",NA,341.4,2023.3
"Norwich-New London, CT M.S.A.",NA,159068,NA,NA
NA,Includes New London County,NA,NA,NA
NA,City of Norwich,39771,121,621
NA,City of New London,27092,193,743
NA,Total area actually reporting,1,465,3278
NA,"Rate per 100,000 inhabitants",NA,292.3,2060.8
"Ocala, FL M.S.A.",NA,346358,NA,NA
NA,Includes Marion County,NA,NA,NA
NA,City of Ocala,58596,463,3174
NA,Total area actually reporting,1,1174,7923
NA,"Rate per 100,000 inhabitants",NA,339,2287.5
"Ocean City, NJ M.S.A.",NA,93755,NA,NA
NA,Includes Cape May County,NA,NA,NA
NA,City of Ocean City,11287,14,364
NA,Total area actually reporting,1,217,2830
NA,"Rate per 100,000 inhabitants",NA,231.5,3018.5
"Odessa, TX M.S.A.",NA,163843,NA,NA
NA,Includes Ector County,NA,NA,NA
NA,City of Odessa,123209,996,4118
NA,Total area actually reporting,1,1169,6137
NA,"Rate per 100,000 inhabitants",NA,713.5,3745.7
"Ogden-Clearfield, UT M.S.A.2",NA,653748,NA,NA
NA,"Includes Box Elder, Davis, Morgan, and Weber Counties",NA,NA,NA
NA,City of Ogden,85930,450,3808
NA,City of Clearfield,30783,29,664
NA,Total area actually reporting,0.981,996,14205
NA,Estimated total,1,1017,14508
NA,"Rate per 100,000 inhabitants",NA,155.6,2219.2
"Oklahoma City, OK M.S.A.",NA,1372721,NA,NA
NA,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",NA,NA,NA
NA,City of Oklahoma City,641681,5027,25032
NA,Total area actually reporting,1,6737,42683
NA,"Rate per 100,000 inhabitants",NA,490.8,3109.4
"Olympia-Tumwater, WA M.S.A.",NA,274020,NA,NA
NA,Includes Thurston County,NA,NA,NA
NA,City of Olympia,50972,200,2491
NA,City of Tumwater,19569,78,843
NA,Total area actually reporting,1,668,8060
NA,"Rate per 100,000 inhabitants",NA,243.8,2941.4
"Omaha-Council Bluffs, NE-IA M.S.A.",NA,923710,NA,NA
NA,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",NA,NA,NA
NA,"City of Omaha, NE",446163,2531,16807
NA,"City of Council Bluffs, IA",62642,150,3862
NA,Total area actually reporting,0.999,3242,25394
NA,Estimated total,1,3244,25415
NA,"Rate per 100,000 inhabitants",NA,351.2,2751.4
"Orlando-Kissimmee-Sanford, FL M.S.A.6",NA,2445214,NA,NA
NA,"Includes Lake, Orange, Osceola, and Seminole Counties",NA,NA,NA
NA,City of Orlando6,277719,2328,14498
NA,City of Kissimmee,71197,508,2670
NA,City of Sanford,59027,542,2812
NA,Total area actually reporting,0.994,12275,72038
NA,Estimated total,1,12331,72464
NA,"Rate per 100,000 inhabitants",NA,504.3,2963.5
"Oshkosh-Neenah, WI M.S.A.",NA,169773,NA,NA
NA,Includes Winnebago County,NA,NA,NA
NA,City of Oshkosh,66654,141,1471
NA,City of Neenah,25850,52,491
NA,Total area actually reporting,1,281,2857
NA,"Rate per 100,000 inhabitants",NA,165.5,1682.8
"Owensboro, KY M.S.A.",NA,117893,NA,NA
NA,"Includes Daviess, Hancock, and McLean Counties",NA,NA,NA
NA,City of Owensboro,59359,136,2658
NA,Total area actually reporting,1,169,3196
NA,"Rate per 100,000 inhabitants",NA,143.4,2710.9
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",NA,849851,NA,NA
NA,Includes Ventura County,NA,NA,NA
NA,City of Oxnard,209048,948,6073
NA,City of Thousand Oaks,129853,164,1686
NA,City of Ventura,110228,368,3750
NA,City of Camarillo,68072,123,1125
NA,Total area actually reporting,1,2192,16415
NA,"Rate per 100,000 inhabitants",NA,257.9,1931.5
"Palm Bay-Melbourne-Titusville, FL M.S.A.",NA,574187,NA,NA
NA,Includes Brevard County,NA,NA,NA
NA,City of Palm Bay,108823,516,1841
NA,City of Melbourne,80900,667,3308
NA,City of Titusville,45723,355,1868
NA,Total area actually reporting,1,2870,14857
NA,"Rate per 100,000 inhabitants",NA,499.8,2587.5
"Panama City, FL M.S.A.",NA,200502,NA,NA
NA,Includes Bay and Gulf Counties,NA,NA,NA
NA,City of Panama City,38847,276,2098
NA,Total area actually reporting,1,957,6776
NA,"Rate per 100,000 inhabitants",NA,477.3,3379.5
"Parkersburg-Vienna, WV M.S.A.",NA,91681,NA,NA
NA,Includes Wirt and Wood Counties,NA,NA,NA
NA,City of Parkersburg,30913,206,1373
NA,City of Vienna,10537,20,447
NA,Total area actually reporting,1,360,2425
NA,"Rate per 100,000 inhabitants",NA,392.7,2645
"Pensacola-Ferry Pass-Brent, FL M.S.A.",NA,484608,NA,NA
NA,Includes Escambia and Santa Rosa Counties,NA,NA,NA
NA,City of Pensacola,53424,348,2184
NA,Total area actually reporting,1,2219,12338
NA,"Rate per 100,000 inhabitants",NA,457.9,2546
"Peoria, IL M.S.A.",NA,375999,NA,NA
NA,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties",NA,NA,NA
NA,City of Peoria,115099,875,4429
NA,Total area actually reporting,0.957,1463,8215
NA,Estimated total,1,1497,8489
NA,"Rate per 100,000 inhabitants",NA,398.1,2257.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.",NA,6068767,NA,NA
NA,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ",NA,NA,NA
NA,"City of Philadelphia, PA",1570826,15534,49334
NA,"City of Wilmington, DE",72183,1285,3544
NA,Total area actually reporting,0.999,27091,131765
NA,Estimated total,1,27098,131822
NA,"Rate per 100,000 inhabitants",NA,446.5,2172.1
"Camden, NJ M.D.",NA,1246564,NA,NA
NA,"Includes Burlington, Camden, and Gloucester Counties",NA,NA,NA
NA,Total area actually reporting,1,3396,24291
NA,"Rate per 100,000 inhabitants",NA,272.4,1948.6
"Montgomery County-Bucks County-Chester County, PA M.D.",NA,1964200,NA,NA
NA,"Includes Bucks, Chester, and Montgomery Counties",NA,NA,NA
NA,Total area actually reporting,0.999,2342,27761
NA,Estimated total,1,2345,27783
NA,"Rate per 100,000 inhabitants",NA,119.4,1414.5
"Philadelphia, PA M.D.",NA,2134060,NA,NA
NA,Includes Delaware and Philadelphia Counties,NA,NA,NA
NA,Total area actually reporting,0.999,17639,59550
NA,Estimated total,1,17643,59585
NA,"Rate per 100,000 inhabitants",NA,826.7,2792.1
"Wilmington, DE-MD-NJ M.D.",NA,723943,NA,NA
NA,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ",NA,NA,NA
NA,Total area actually reporting,1,3714,20163
NA,"Rate per 100,000 inhabitants",NA,513,2785.2
"Phoenix-Mesa-Scottsdale, AZ M.S.A.",NA,4662302,NA,NA
NA,Includes Maricopa and Pinal Counties,NA,NA,NA
NA,City of Phoenix,1586611,10700,58552
NA,City of Mesa,478277,2051,11214
NA,City of Scottsdale,240885,369,5698
NA,City of Tempe,178654,902,8144
NA,Total area actually reporting,0.998,19876,133534
NA,Estimated total,1,19904,133812
NA,"Rate per 100,000 inhabitants",NA,426.9,2870.1
"Pine Bluff, AR M.S.A",NA,92403,NA,NA
NA,"Includes Cleveland, Jefferson, and Lincoln Counties",NA,NA,NA
NA,City of Pine Bluff,43976,705,2786
NA,Total area actually reporting,1,840,3594
NA,"Rate per 100,000 inhabitants",NA,909.1,3889.5
"Pittsburgh, PA M.S.A.",NA,2345496,NA,NA
NA,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties",NA,NA,NA
